CMDLINE python instances/scan_instances.py
MEM 0.675781 1683560820.0700
MEM 29.332031 1683560820.1703
MEM 43.433594 1683560820.2706
MEM 46.039062 1683560820.3708
MEM 46.039062 1683560820.4711
MEM 46.039062 1683560820.5712
MEM 46.039062 1683560820.6715
MEM 46.039062 1683560820.7718
MEM 46.039062 1683560820.8720
MEM 46.039062 1683560820.9722
MEM 46.039062 1683560821.0724
MEM 46.039062 1683560821.1727
MEM 46.039062 1683560821.2730
MEM 46.039062 1683560821.3733
MEM 46.039062 1683560821.4735
MEM 46.039062 1683560821.5739
MEM 46.039062 1683560821.6741
MEM 46.414062 1683560821.7744
MEM 46.414062 1683560821.8746
MEM 46.414062 1683560821.9749
MEM 46.414062 1683560822.0752
MEM 46.414062 1683560822.1755
MEM 46.414062 1683560822.2757
MEM 46.414062 1683560822.3760
MEM 46.730469 1683560822.4763
MEM 46.730469 1683560822.5765
MEM 46.988281 1683560822.6767
MEM 47.246094 1683560822.7769
MEM 47.246094 1683560822.8772
