CMDLINE python instances/scan_instances.py
MEM 0.660156 1683651624.0614
MEM 29.054688 1683651624.1617
MEM 43.414062 1683651624.2619
MEM 54.078125 1683651624.3621
MEM 60.824219 1683651624.4624
MEM 60.824219 1683651624.5627
MEM 61.398438 1683651624.6630
MEM 62.089844 1683651624.7634
MEM 62.089844 1683651624.8637
MEM 62.605469 1683651624.9639
MEM 62.863281 1683651625.0642
MEM 63.121094 1683651625.1645
MEM 63.121094 1683651625.2648
MEM 63.121094 1683651625.3651
MEM 63.121094 1683651625.4654
MEM 63.378906 1683651625.5658
MEM 63.378906 1683651625.6660
MEM 63.636719 1683651625.7663
MEM 63.636719 1683651625.8667
MEM 63.636719 1683651625.9670
MEM 63.636719 1683651626.0674
MEM 63.894531 1683651626.1677
MEM 63.894531 1683651626.2680
MEM 63.894531 1683651626.3684
MEM 63.894531 1683651626.4687
MEM 63.894531 1683651626.5691
MEM 64.152344 1683651626.6694
MEM 64.152344 1683651626.7697
MEM 64.152344 1683651626.8700
MEM 64.152344 1683651626.9704
MEM 64.667969 1683651627.0708
MEM 64.925781 1683651627.1711
MEM 64.925781 1683651627.2715
MEM 64.925781 1683651627.3718
MEM 64.925781 1683651627.4722
MEM 64.925781 1683651627.5725
MEM 64.925781 1683651627.6728
MEM 64.925781 1683651627.7732
MEM 65.183594 1683651627.8735
MEM 65.183594 1683651627.9739
MEM 65.183594 1683651628.0742
MEM 65.183594 1683651628.1745
MEM 65.183594 1683651628.2748
MEM 65.183594 1683651628.3750
MEM 65.183594 1683651628.4754
MEM 65.183594 1683651628.5757
MEM 65.183594 1683651628.6763
MEM 65.441406 1683651628.7767
MEM 65.441406 1683651628.8772
MEM 65.441406 1683651628.9776
MEM 65.441406 1683651629.0782
MEM 65.441406 1683651629.1784
MEM 65.441406 1683651629.2788
MEM 65.441406 1683651629.3791
MEM 65.441406 1683651629.4795
MEM 65.441406 1683651629.5797
MEM 65.699219 1683651629.6799
MEM 65.957031 1683651629.7803
MEM 66.214844 1683651629.8806
MEM 66.214844 1683651629.9809
MEM 66.214844 1683651630.0813
MEM 66.214844 1683651630.1816
MEM 66.472656 1683651630.2819
MEM 66.472656 1683651630.3822
MEM 66.472656 1683651630.4825
MEM 66.472656 1683651630.5828
MEM 66.472656 1683651630.6831
MEM 66.472656 1683651630.7833
MEM 66.472656 1683651630.8836
MEM 66.472656 1683651630.9839
MEM 66.472656 1683651631.0842
MEM 66.730469 1683651631.1846
MEM 66.730469 1683651631.2849
MEM 66.730469 1683651631.3853
MEM 66.730469 1683651631.4856
MEM 66.730469 1683651631.5859
MEM 66.730469 1683651631.6862
MEM 66.730469 1683651631.7866
MEM 66.730469 1683651631.8869
MEM 66.730469 1683651631.9872
MEM 66.988281 1683651632.0876
MEM 66.988281 1683651632.1879
