CMDLINE /home/stefano/anaconda3/bin/python boh.py
MEM 0.691406 1683048960.9416
MEM 26.835938 1683048961.0419
MEM 40.468750 1683048961.1422
MEM 56.753906 1683048961.2425
MEM 57.011719 1683048961.3427
MEM 57.386719 1683048961.4430
MEM 57.820312 1683048961.5433
MEM 58.078125 1683048961.6436
MEM 58.335938 1683048961.7438
MEM 59.109375 1683048961.8441
MEM 59.367188 1683048961.9444
MEM 59.367188 1683048962.0447
MEM 59.625000 1683048962.1450
MEM 59.882812 1683048962.2453
MEM 60.140625 1683048962.3456
MEM 60.140625 1683048962.4458
MEM 61.171875 1683048962.5461
MEM 61.429688 1683048962.6464
MEM 61.429688 1683048962.7466
MEM 61.687500 1683048962.8469
MEM 62.460938 1683048962.9470
MEM 62.460938 1683048963.0474
MEM 62.460938 1683048963.1476
MEM 62.460938 1683048963.2479
MEM 62.460938 1683048963.3481
MEM 62.460938 1683048963.4483
MEM 62.460938 1683048963.5486
MEM 62.460938 1683048963.6489
MEM 62.460938 1683048963.7491
MEM 62.460938 1683048963.8494
MEM 62.718750 1683048963.9496
MEM 62.718750 1683048964.0498
MEM 62.718750 1683048964.1500
MEM 62.718750 1683048964.2502
MEM 62.718750 1683048964.3504
MEM 62.718750 1683048964.4507
MEM 62.718750 1683048964.5509
MEM 62.718750 1683048964.6512
MEM 62.718750 1683048964.7514
MEM 62.718750 1683048964.8517
MEM 62.718750 1683048964.9519
MEM 62.718750 1683048965.0521
MEM 62.718750 1683048965.1523
MEM 62.718750 1683048965.2525
MEM 62.718750 1683048965.3528
MEM 62.718750 1683048965.4530
MEM 62.718750 1683048965.5534
MEM 62.718750 1683048965.6536
MEM 62.718750 1683048965.7539
MEM 62.718750 1683048965.8542
MEM 62.718750 1683048965.9545
MEM 62.718750 1683048966.0548
MEM 62.718750 1683048966.1550
MEM 62.718750 1683048966.2552
MEM 62.718750 1683048966.3555
MEM 62.718750 1683048966.4557
MEM 62.718750 1683048966.5561
MEM 62.718750 1683048966.6564
MEM 62.718750 1683048966.7568
MEM 62.718750 1683048966.8570
MEM 62.718750 1683048966.9573
MEM 62.718750 1683048967.0575
MEM 62.718750 1683048967.1578
MEM 62.718750 1683048967.2580
MEM 62.718750 1683048967.3583
MEM 62.718750 1683048967.4586
MEM 62.976562 1683048967.5589
MEM 62.976562 1683048967.6592
MEM 62.976562 1683048967.7595
MEM 63.234375 1683048967.8598
MEM 63.234375 1683048967.9601
MEM 63.234375 1683048968.0603
MEM 63.234375 1683048968.1606
MEM 63.234375 1683048968.2609
MEM 63.492188 1683048968.3611
MEM 63.492188 1683048968.4614
