CMDLINE python instances/scan_instances.py
MEM 0.675781 1683561004.5127
MEM 29.003906 1683561004.6130
MEM 43.464844 1683561004.7133
MEM 46.121094 1683561004.8136
MEM 46.121094 1683561004.9139
MEM 46.121094 1683561005.0142
MEM 46.496094 1683561005.1146
MEM 46.496094 1683561005.2149
MEM 46.496094 1683561005.3152
MEM 46.496094 1683561005.4154
MEM 46.496094 1683561005.5157
MEM 46.496094 1683561005.6160
MEM 46.496094 1683561005.7163
MEM 46.496094 1683561005.8166
MEM 46.753906 1683561005.9169
MEM 46.753906 1683561006.0172
MEM 46.753906 1683561006.1175
MEM 46.753906 1683561006.2178
MEM 46.753906 1683561006.3181
MEM 46.753906 1683561006.4184
MEM 46.753906 1683561006.5187
MEM 46.753906 1683561006.6190
MEM 47.011719 1683561006.7193
MEM 47.011719 1683561006.8196
MEM 47.011719 1683561006.9200
MEM 47.011719 1683561007.0203
MEM 47.011719 1683561007.1206
MEM 47.011719 1683561007.2209
MEM 47.011719 1683561007.3212
MEM 47.011719 1683561007.4215
MEM 47.269531 1683561007.5218
MEM 47.269531 1683561007.6221
MEM 47.269531 1683561007.7224
MEM 47.269531 1683561007.8227
MEM 47.269531 1683561007.9230
MEM 47.269531 1683561008.0233
MEM 47.527344 1683561008.1236
MEM 47.527344 1683561008.2239
MEM 47.527344 1683561008.3243
MEM 47.527344 1683561008.4246
MEM 47.527344 1683561008.5248
MEM 47.785156 1683561008.6251
MEM 57.531250 1683561008.7255
MEM 79.093750 1683561008.8259
MEM 79.093750 1683561008.9262
MEM 79.093750 1683561009.0265
MEM 79.093750 1683561009.1268
MEM 79.093750 1683561009.2271
MEM 79.093750 1683561009.3274
MEM 79.093750 1683561009.4277
MEM 79.093750 1683561009.5281
MEM 79.093750 1683561009.6286
MEM 79.093750 1683561009.7290
MEM 79.093750 1683561009.8293
MEM 79.093750 1683561009.9296
MEM 79.093750 1683561010.0299
MEM 79.093750 1683561010.1302
MEM 79.093750 1683561010.2305
MEM 79.093750 1683561010.3308
MEM 79.093750 1683561010.4310
MEM 79.093750 1683561010.5313
MEM 79.093750 1683561010.6316
MEM 79.093750 1683561010.7319
MEM 79.093750 1683561010.8322
MEM 79.093750 1683561010.9325
MEM 79.093750 1683561011.0328
MEM 79.093750 1683561011.1332
MEM 79.093750 1683561011.2335
MEM 79.093750 1683561011.3338
MEM 79.093750 1683561011.4341
MEM 79.093750 1683561011.5344
MEM 79.093750 1683561011.6347
MEM 79.093750 1683561011.7350
MEM 79.093750 1683561011.8353
MEM 79.093750 1683561011.9356
MEM 79.093750 1683561012.0359
MEM 79.093750 1683561012.1362
MEM 79.093750 1683561012.2365
MEM 79.093750 1683561012.3368
MEM 79.093750 1683561012.4371
MEM 79.093750 1683561012.5374
MEM 79.093750 1683561012.6377
MEM 79.093750 1683561012.7380
MEM 79.093750 1683561012.8383
MEM 79.093750 1683561012.9386
MEM 79.093750 1683561013.0389
MEM 79.093750 1683561013.1392
MEM 79.093750 1683561013.2395
MEM 79.093750 1683561013.3398
MEM 79.093750 1683561013.4401
MEM 79.093750 1683561013.5404
MEM 79.093750 1683561013.6407
MEM 79.093750 1683561013.7410
MEM 79.093750 1683561013.8412
MEM 79.093750 1683561013.9415
MEM 79.093750 1683561014.0419
MEM 79.093750 1683561014.1422
MEM 79.093750 1683561014.2424
MEM 79.093750 1683561014.3428
MEM 79.347656 1683561014.4430
MEM 88.628906 1683561014.5433
MEM 88.628906 1683561014.6436
MEM 88.628906 1683561014.7440
MEM 88.628906 1683561014.8443
MEM 88.628906 1683561014.9446
MEM 88.628906 1683561015.0450
MEM 88.628906 1683561015.1453
MEM 88.886719 1683561015.2456
MEM 88.886719 1683561015.3459
MEM 88.886719 1683561015.4462
MEM 88.886719 1683561015.5464
MEM 88.886719 1683561015.6467
MEM 88.886719 1683561015.7470
MEM 88.886719 1683561015.8473
