CMDLINE /home/stefano/anaconda3/bin/python boh.py
MEM 0.671875 1683052478.3064
MEM 27.273438 1683052478.4067
MEM 40.703125 1683052478.5069
MEM 60.097656 1683052478.6071
MEM 60.097656 1683052478.7074
MEM 60.097656 1683052478.8076
MEM 60.097656 1683052478.9079
MEM 60.097656 1683052479.0082
MEM 60.472656 1683052479.1084
MEM 60.472656 1683052479.2087
MEM 60.789062 1683052479.3089
MEM 60.789062 1683052479.4092
MEM 60.789062 1683052479.5095
MEM 61.164062 1683052479.6097
MEM 61.164062 1683052479.7098
MEM 61.421875 1683052479.8100
MEM 61.421875 1683052479.9101
MEM 61.421875 1683052480.0103
MEM 61.679688 1683052480.1105
MEM 61.679688 1683052480.2108
MEM 61.679688 1683052480.3112
MEM 61.937500 1683052480.4115
MEM 61.937500 1683052480.5117
MEM 62.195312 1683052480.6120
MEM 62.195312 1683052480.7122
MEM 62.195312 1683052480.8126
MEM 62.195312 1683052480.9133
MEM 62.195312 1683052481.0136
MEM 62.195312 1683052481.1138
MEM 62.453125 1683052481.2141
MEM 62.453125 1683052481.3144
MEM 62.453125 1683052481.4147
MEM 62.453125 1683052481.5150
MEM 62.453125 1683052481.6153
MEM 62.710938 1683052481.7157
MEM 62.710938 1683052481.8159
MEM 62.710938 1683052481.9162
MEM 62.710938 1683052482.0165
MEM 62.710938 1683052482.1168
MEM 62.968750 1683052482.2171
MEM 62.968750 1683052482.3173
MEM 62.968750 1683052482.4177
MEM 63.484375 1683052482.5179
MEM 63.484375 1683052482.6181
MEM 63.484375 1683052482.7184
MEM 63.484375 1683052482.8187
MEM 63.484375 1683052482.9190
MEM 63.742188 1683052483.0192
MEM 63.742188 1683052483.1195
MEM 63.742188 1683052483.2198
MEM 63.742188 1683052483.3201
MEM 63.742188 1683052483.4204
MEM 63.742188 1683052483.5206
MEM 64.257812 1683052483.6209
MEM 64.257812 1683052483.7212
MEM 64.515625 1683052483.8214
MEM 64.515625 1683052483.9217
MEM 64.773438 1683052484.0219
MEM 64.773438 1683052484.1223
MEM 64.773438 1683052484.2226
MEM 64.773438 1683052484.3229
MEM 65.031250 1683052484.4231
MEM 65.031250 1683052484.5234
MEM 66.062500 1683052484.6237
MEM 66.062500 1683052484.7239
MEM 66.062500 1683052484.8242
MEM 66.320312 1683052484.9245
MEM 66.320312 1683052485.0247
MEM 66.578125 1683052485.1253
MEM 66.578125 1683052485.2256
MEM 66.835938 1683052485.3258
MEM 67.351562 1683052485.4264
MEM 67.351562 1683052485.5266
MEM 67.351562 1683052485.6269
MEM 67.351562 1683052485.7271
MEM 67.351562 1683052485.8274
MEM 67.351562 1683052485.9276
MEM 67.351562 1683052486.0278
MEM 67.351562 1683052486.1282
MEM 67.351562 1683052486.2284
MEM 67.351562 1683052486.3287
MEM 67.351562 1683052486.4289
MEM 67.351562 1683052486.5292
MEM 67.351562 1683052486.6295
MEM 67.609375 1683052486.7298
MEM 67.609375 1683052486.8301
MEM 67.867188 1683052486.9304
