CMDLINE python src/scan_instances.py
MEM 0.660156 1683821594.2282
MEM 29.066406 1683821594.3286
MEM 43.507812 1683821594.4289
MEM 46.164062 1683821594.5292
MEM 46.539062 1683821594.6295
MEM 46.539062 1683821594.7298
MEM 46.539062 1683821594.8302
MEM 46.855469 1683821594.9305
MEM 46.855469 1683821595.0309
MEM 47.113281 1683821595.1311
MEM 47.628906 1683821595.2314
MEM 47.628906 1683821595.3316
MEM 47.628906 1683821595.4319
MEM 47.886719 1683821595.5322
MEM 64.675781 1683821595.6325
MEM 79.351562 1683821595.7329
MEM 79.351562 1683821595.8332
MEM 79.351562 1683821595.9336
MEM 79.351562 1683821596.0339
MEM 79.351562 1683821596.1342
MEM 79.351562 1683821596.2345
MEM 79.351562 1683821596.3348
MEM 79.351562 1683821596.4350
MEM 79.351562 1683821596.5352
MEM 79.351562 1683821596.6355
MEM 79.351562 1683821596.7357
MEM 79.351562 1683821596.8360
MEM 79.351562 1683821596.9362
MEM 79.351562 1683821597.0365
MEM 79.351562 1683821597.1368
MEM 79.351562 1683821597.2371
MEM 79.351562 1683821597.3373
MEM 79.351562 1683821597.4375
MEM 79.351562 1683821597.5378
MEM 79.351562 1683821597.6380
MEM 79.351562 1683821597.7383
MEM 79.351562 1683821597.8385
MEM 79.351562 1683821597.9388
MEM 79.351562 1683821598.0390
MEM 79.351562 1683821598.1392
MEM 79.351562 1683821598.2395
MEM 79.351562 1683821598.3397
MEM 79.351562 1683821598.4400
MEM 79.351562 1683821598.5403
MEM 79.351562 1683821598.6405
MEM 79.351562 1683821598.7408
MEM 79.351562 1683821598.8411
MEM 79.351562 1683821598.9413
MEM 79.351562 1683821599.0416
MEM 79.351562 1683821599.1419
MEM 79.351562 1683821599.2421
MEM 79.351562 1683821599.3424
MEM 79.351562 1683821599.4427
MEM 79.351562 1683821599.5430
MEM 79.351562 1683821599.6432
MEM 79.351562 1683821599.7435
MEM 79.351562 1683821599.8438
MEM 79.351562 1683821599.9440
MEM 79.351562 1683821600.0443
MEM 79.351562 1683821600.1446
MEM 79.351562 1683821600.2449
MEM 79.351562 1683821600.3451
MEM 79.351562 1683821600.4454
MEM 79.351562 1683821600.5456
MEM 79.351562 1683821600.6459
MEM 88.886719 1683821600.7463
MEM 88.886719 1683821600.8465
MEM 88.886719 1683821600.9469
MEM 88.886719 1683821601.0472
MEM 88.886719 1683821601.1474
MEM 88.886719 1683821601.2477
MEM 88.886719 1683821601.3480
MEM 88.886719 1683821601.4482
MEM 89.144531 1683821601.5484
MEM 89.144531 1683821601.6487
MEM 89.144531 1683821601.7489
MEM 89.144531 1683821601.8492
MEM 89.144531 1683821601.9494
MEM 89.144531 1683821602.0497
MEM 89.144531 1683821602.1500
MEM 89.144531 1683821602.2502
MEM 89.144531 1683821602.3504
MEM 89.144531 1683821602.4507
MEM 89.144531 1683821602.5509
MEM 89.144531 1683821602.6512
MEM 89.144531 1683821602.7515
MEM 89.144531 1683821602.8517
MEM 89.144531 1683821602.9520
MEM 89.402344 1683821603.0523
MEM 89.402344 1683821603.1526
MEM 89.402344 1683821603.2528
MEM 89.402344 1683821603.3531
MEM 89.402344 1683821603.4533
MEM 89.402344 1683821603.5535
MEM 89.402344 1683821603.6538
MEM 89.402344 1683821603.7541
MEM 89.402344 1683821603.8543
MEM 97.136719 1683821603.9545
MEM 103.839844 1683821604.0548
MEM 104.097656 1683821604.1551
MEM 104.097656 1683821604.2554
MEM 104.097656 1683821604.3557
