CMDLINE python instances/scan_instances.py
MEM 0.671875 1683642804.0651
MEM 29.507812 1683642804.1654
MEM 44.042969 1683642804.2657
MEM 46.070312 1683642804.3660
MEM 46.445312 1683642804.4662
MEM 46.445312 1683642804.5665
MEM 46.445312 1683642804.6667
MEM 46.445312 1683642804.7671
MEM 46.703125 1683642804.8673
MEM 46.960938 1683642804.9676
MEM 47.218750 1683642805.0679
MEM 47.218750 1683642805.1682
MEM 47.476562 1683642805.2685
MEM 47.476562 1683642805.3687
MEM 47.734375 1683642805.4690
MEM 59.878906 1683642805.5692
MEM 79.425781 1683642805.6695
MEM 79.425781 1683642805.7698
MEM 79.425781 1683642805.8701
MEM 79.425781 1683642805.9703
MEM 79.425781 1683642806.0706
MEM 79.425781 1683642806.1708
MEM 79.425781 1683642806.2710
MEM 79.425781 1683642806.3712
MEM 79.425781 1683642806.4715
MEM 79.425781 1683642806.5717
MEM 79.425781 1683642806.6719
MEM 79.425781 1683642806.7722
MEM 79.425781 1683642806.8724
MEM 79.425781 1683642806.9726
MEM 79.425781 1683642807.0729
MEM 79.425781 1683642807.1731
MEM 79.425781 1683642807.2733
MEM 79.425781 1683642807.3735
MEM 79.425781 1683642807.4738
MEM 79.425781 1683642807.5741
MEM 79.425781 1683642807.6743
MEM 79.425781 1683642807.7745
MEM 79.425781 1683642807.8747
MEM 79.425781 1683642807.9750
MEM 79.425781 1683642808.0752
MEM 79.425781 1683642808.1754
MEM 79.425781 1683642808.2757
MEM 79.425781 1683642808.3759
MEM 79.425781 1683642808.4762
MEM 79.425781 1683642808.5764
MEM 79.425781 1683642808.6767
MEM 79.425781 1683642808.7769
MEM 79.425781 1683642808.8772
MEM 79.425781 1683642808.9776
MEM 79.425781 1683642809.0779
MEM 79.425781 1683642809.1784
MEM 79.425781 1683642809.2786
MEM 79.425781 1683642809.3789
MEM 79.425781 1683642809.4792
MEM 79.425781 1683642809.5795
MEM 79.425781 1683642809.6799
MEM 79.425781 1683642809.7802
MEM 79.425781 1683642809.8805
MEM 79.425781 1683642809.9808
MEM 79.425781 1683642810.0812
MEM 79.425781 1683642810.1816
MEM 79.425781 1683642810.2819
MEM 79.425781 1683642810.3822
MEM 79.425781 1683642810.4826
MEM 79.425781 1683642810.5829
MEM 79.425781 1683642810.6832
MEM 79.425781 1683642810.7834
MEM 79.425781 1683642810.8837
MEM 79.425781 1683642810.9840
MEM 79.425781 1683642811.0843
MEM 79.425781 1683642811.1845
MEM 79.937500 1683642811.2848
MEM 88.703125 1683642811.3851
MEM 88.703125 1683642811.4853
MEM 88.703125 1683642811.5855
MEM 88.703125 1683642811.6858
MEM 88.703125 1683642811.7860
MEM 88.703125 1683642811.8864
MEM 88.703125 1683642811.9867
MEM 88.960938 1683642812.0871
MEM 88.960938 1683642812.1873
MEM 88.960938 1683642812.2876
MEM 88.960938 1683642812.3881
MEM 88.960938 1683642812.4885
MEM 88.960938 1683642812.5890
MEM 88.960938 1683642812.6894
MEM 88.960938 1683642812.7898
MEM 88.960938 1683642812.8903
MEM 88.960938 1683642812.9907
MEM 88.960938 1683642813.0910
MEM 88.960938 1683642813.1913
MEM 88.960938 1683642813.2915
MEM 88.960938 1683642813.3919
MEM 89.218750 1683642813.4922
MEM 89.218750 1683642813.5925
MEM 89.218750 1683642813.6929
MEM 89.218750 1683642813.7932
MEM 89.218750 1683642813.8935
MEM 89.218750 1683642813.9939
MEM 89.218750 1683642814.0942
MEM 89.218750 1683642814.1945
MEM 89.218750 1683642814.2949
MEM 89.218750 1683642814.3951
MEM 89.218750 1683642814.4954
MEM 89.218750 1683642814.5957
MEM 90.250000 1683642814.6961
MEM 103.398438 1683642814.7964
MEM 103.398438 1683642814.8967
MEM 103.656250 1683642814.9970
MEM 103.656250 1683642815.0973
MEM 103.656250 1683642815.1975
MEM 103.656250 1683642815.2978
MEM 103.902344 1683642815.3981
MEM 103.902344 1683642815.4984
MEM 103.902344 1683642815.5987
MEM 103.902344 1683642815.6990
MEM 103.902344 1683642815.7993
MEM 104.218750 1683642815.8995
MEM 104.218750 1683642815.9998
MEM 104.218750 1683642816.1001
MEM 104.218750 1683642816.2004
MEM 104.218750 1683642816.3007
MEM 104.218750 1683642816.4010
MEM 104.218750 1683642816.5012
MEM 104.218750 1683642816.6015
MEM 104.218750 1683642816.7017
MEM 104.218750 1683642816.8020
MEM 104.218750 1683642816.9022
MEM 104.218750 1683642817.0024
MEM 104.218750 1683642817.1027
MEM 104.218750 1683642817.2030
MEM 104.218750 1683642817.3033
MEM 104.218750 1683642817.4036
MEM 104.218750 1683642817.5040
MEM 104.218750 1683642817.6043
MEM 104.218750 1683642817.7047
MEM 104.218750 1683642817.8050
MEM 104.218750 1683642817.9054
MEM 104.218750 1683642818.0057
MEM 104.218750 1683642818.1061
MEM 104.218750 1683642818.2064
MEM 104.218750 1683642818.3068
MEM 104.218750 1683642818.4071
MEM 104.218750 1683642818.5075
MEM 104.218750 1683642818.6078
MEM 104.218750 1683642818.7081
MEM 104.218750 1683642818.8083
MEM 104.218750 1683642818.9087
MEM 104.218750 1683642819.0089
MEM 104.218750 1683642819.1093
MEM 104.218750 1683642819.2096
MEM 104.218750 1683642819.3099
MEM 104.218750 1683642819.4102
MEM 104.218750 1683642819.5105
MEM 104.218750 1683642819.6108
MEM 104.218750 1683642819.7110
MEM 104.218750 1683642819.8113
MEM 104.218750 1683642819.9117
MEM 104.218750 1683642820.0119
MEM 104.218750 1683642820.1123
MEM 104.218750 1683642820.2126
MEM 104.218750 1683642820.3129
MEM 104.218750 1683642820.4133
MEM 104.218750 1683642820.5136
MEM 104.218750 1683642820.6139
MEM 104.218750 1683642820.7141
MEM 104.218750 1683642820.8144
MEM 104.531250 1683642820.9147
MEM 104.531250 1683642821.0149
MEM 104.531250 1683642821.1152
MEM 104.531250 1683642821.2155
MEM 104.531250 1683642821.3159
MEM 104.531250 1683642821.4163
MEM 104.531250 1683642821.5166
MEM 104.531250 1683642821.6170
MEM 104.531250 1683642821.7173
MEM 104.531250 1683642821.8177
MEM 104.531250 1683642821.9180
MEM 104.531250 1683642822.0184
MEM 104.531250 1683642822.1186
MEM 104.531250 1683642822.2189
MEM 104.531250 1683642822.3192
MEM 104.531250 1683642822.4196
MEM 104.531250 1683642822.5199
MEM 104.531250 1683642822.6201
MEM 104.531250 1683642822.7204
MEM 104.531250 1683642822.8206
MEM 104.531250 1683642822.9210
MEM 104.531250 1683642823.0214
MEM 104.531250 1683642823.1218
MEM 104.531250 1683642823.2222
MEM 104.531250 1683642823.3225
MEM 104.531250 1683642823.4229
MEM 104.531250 1683642823.5232
MEM 104.531250 1683642823.6240
MEM 104.531250 1683642823.7249
MEM 104.531250 1683642823.8252
MEM 104.531250 1683642823.9255
MEM 104.531250 1683642824.0263
MEM 104.531250 1683642824.1267
MEM 104.531250 1683642824.2271
MEM 104.531250 1683642824.3275
MEM 104.531250 1683642824.4283
MEM 104.531250 1683642824.5288
MEM 104.531250 1683642824.6292
MEM 104.531250 1683642824.7294
MEM 104.531250 1683642824.8298
MEM 104.531250 1683642824.9303
MEM 104.531250 1683642825.0307
MEM 104.531250 1683642825.1311
MEM 104.531250 1683642825.2315
MEM 104.531250 1683642825.3317
MEM 104.531250 1683642825.4321
MEM 104.531250 1683642825.5325
MEM 104.531250 1683642825.6329
MEM 104.531250 1683642825.7331
MEM 104.531250 1683642825.8335
MEM 104.531250 1683642825.9338
MEM 104.531250 1683642826.0340
MEM 104.531250 1683642826.1344
MEM 104.531250 1683642826.2346
MEM 104.531250 1683642826.3350
MEM 104.531250 1683642826.4354
MEM 104.531250 1683642826.5357
MEM 104.531250 1683642826.6361
MEM 104.531250 1683642826.7364
MEM 104.531250 1683642826.8367
MEM 104.531250 1683642826.9369
MEM 104.531250 1683642827.0372
MEM 104.531250 1683642827.1374
MEM 104.531250 1683642827.2377
MEM 104.531250 1683642827.3379
MEM 104.531250 1683642827.4382
MEM 104.531250 1683642827.5385
MEM 104.531250 1683642827.6387
MEM 104.531250 1683642827.7390
MEM 104.531250 1683642827.8392
MEM 104.531250 1683642827.9395
MEM 104.531250 1683642828.0397
MEM 104.531250 1683642828.1400
MEM 104.531250 1683642828.2402
MEM 104.531250 1683642828.3405
MEM 104.531250 1683642828.4407
MEM 104.531250 1683642828.5410
MEM 104.789062 1683642828.6413
MEM 104.789062 1683642828.7415
MEM 104.789062 1683642828.8417
MEM 104.789062 1683642828.9420
MEM 104.789062 1683642829.0423
MEM 104.789062 1683642829.1425
MEM 104.789062 1683642829.2428
MEM 104.789062 1683642829.3430
MEM 104.789062 1683642829.4433
MEM 104.789062 1683642829.5436
MEM 104.789062 1683642829.6439
MEM 104.789062 1683642829.7441
MEM 104.789062 1683642829.8444
MEM 104.789062 1683642829.9446
MEM 104.789062 1683642830.0449
MEM 104.789062 1683642830.1452
MEM 104.789062 1683642830.2454
MEM 104.789062 1683642830.3457
MEM 104.789062 1683642830.4459
MEM 104.789062 1683642830.5462
MEM 104.789062 1683642830.6464
MEM 104.789062 1683642830.7467
MEM 104.789062 1683642830.8469
MEM 105.046875 1683642830.9472
MEM 105.046875 1683642831.0474
MEM 105.046875 1683642831.1477
MEM 105.046875 1683642831.2480
MEM 105.046875 1683642831.3482
MEM 105.046875 1683642831.4486
MEM 105.046875 1683642831.5488
MEM 105.046875 1683642831.6491
MEM 105.046875 1683642831.7493
MEM 105.046875 1683642831.8496
MEM 105.046875 1683642831.9499
MEM 105.046875 1683642832.0502
MEM 105.046875 1683642832.1506
MEM 105.046875 1683642832.2509
MEM 105.046875 1683642832.3512
MEM 105.046875 1683642832.4514
MEM 105.046875 1683642832.5516
MEM 105.046875 1683642832.6518
MEM 105.046875 1683642832.7521
MEM 105.046875 1683642832.8523
MEM 105.304688 1683642832.9526
MEM 105.304688 1683642833.0529
MEM 105.304688 1683642833.1531
MEM 105.304688 1683642833.2534
MEM 105.304688 1683642833.3536
MEM 105.304688 1683642833.4539
MEM 105.304688 1683642833.5541
MEM 105.304688 1683642833.6543
MEM 105.304688 1683642833.7546
MEM 105.304688 1683642833.8548
MEM 105.304688 1683642833.9551
MEM 105.304688 1683642834.0553
MEM 105.304688 1683642834.1556
MEM 105.304688 1683642834.2558
MEM 105.304688 1683642834.3561
MEM 105.304688 1683642834.4564
MEM 105.304688 1683642834.5566
MEM 105.304688 1683642834.6569
MEM 105.304688 1683642834.7572
MEM 105.304688 1683642834.8574
MEM 105.304688 1683642834.9577
MEM 105.304688 1683642835.0579
MEM 105.304688 1683642835.1582
MEM 105.304688 1683642835.2584
MEM 105.304688 1683642835.3587
MEM 105.304688 1683642835.4589
MEM 105.304688 1683642835.5592
MEM 105.304688 1683642835.6595
MEM 105.304688 1683642835.7597
MEM 105.304688 1683642835.8600
MEM 105.304688 1683642835.9602
MEM 105.304688 1683642836.0605
MEM 105.304688 1683642836.1607
MEM 105.304688 1683642836.2610
MEM 105.304688 1683642836.3612
MEM 105.304688 1683642836.4615
MEM 105.304688 1683642836.5617
MEM 105.304688 1683642836.6620
MEM 105.304688 1683642836.7622
MEM 105.304688 1683642836.8625
MEM 105.304688 1683642836.9628
MEM 105.304688 1683642837.0630
MEM 105.304688 1683642837.1633
MEM 105.304688 1683642837.2635
MEM 105.304688 1683642837.3638
MEM 105.304688 1683642837.4640
MEM 105.304688 1683642837.5643
MEM 105.304688 1683642837.6645
MEM 105.304688 1683642837.7648
MEM 105.304688 1683642837.8650
MEM 105.304688 1683642837.9653
MEM 105.304688 1683642838.0655
MEM 105.304688 1683642838.1658
MEM 105.304688 1683642838.2661
MEM 105.304688 1683642838.3663
MEM 105.304688 1683642838.4666
MEM 105.304688 1683642838.5668
MEM 105.304688 1683642838.6671
MEM 105.304688 1683642838.7674
MEM 105.304688 1683642838.8678
MEM 105.304688 1683642838.9682
MEM 105.304688 1683642839.0687
MEM 105.304688 1683642839.1690
MEM 105.304688 1683642839.2692
MEM 105.304688 1683642839.3695
MEM 105.304688 1683642839.4697
MEM 105.304688 1683642839.5700
MEM 105.304688 1683642839.6703
MEM 105.304688 1683642839.7705
MEM 105.304688 1683642839.8708
MEM 105.304688 1683642839.9711
MEM 105.304688 1683642840.0713
MEM 105.304688 1683642840.1716
MEM 105.304688 1683642840.2718
MEM 105.304688 1683642840.3721
MEM 105.304688 1683642840.4723
MEM 105.304688 1683642840.5726
MEM 105.304688 1683642840.6728
MEM 105.304688 1683642840.7731
MEM 105.304688 1683642840.8733
MEM 105.304688 1683642840.9736
MEM 105.304688 1683642841.0739
MEM 105.304688 1683642841.1741
MEM 105.304688 1683642841.2744
MEM 105.304688 1683642841.3746
MEM 105.304688 1683642841.4749
MEM 105.304688 1683642841.5751
MEM 105.304688 1683642841.6754
MEM 105.304688 1683642841.7756
MEM 105.304688 1683642841.8759
MEM 105.304688 1683642841.9762
MEM 105.304688 1683642842.0764
MEM 105.304688 1683642842.1766
MEM 105.304688 1683642842.2769
MEM 105.304688 1683642842.3771
MEM 105.304688 1683642842.4773
MEM 105.304688 1683642842.5779
MEM 105.304688 1683642842.6781
MEM 105.304688 1683642842.7784
MEM 105.304688 1683642842.8786
MEM 105.304688 1683642842.9789
MEM 105.304688 1683642843.0791
MEM 105.304688 1683642843.1794
MEM 105.304688 1683642843.2796
MEM 105.304688 1683642843.3799
MEM 105.304688 1683642843.4801
MEM 105.304688 1683642843.5804
MEM 105.304688 1683642843.6807
MEM 105.304688 1683642843.7810
MEM 105.304688 1683642843.8813
MEM 105.304688 1683642843.9816
MEM 105.304688 1683642844.0818
MEM 105.304688 1683642844.1821
MEM 105.304688 1683642844.2823
MEM 105.304688 1683642844.3826
MEM 105.304688 1683642844.4828
MEM 105.304688 1683642844.5831
MEM 105.304688 1683642844.6833
MEM 105.304688 1683642844.7836
MEM 105.304688 1683642844.8838
MEM 105.304688 1683642844.9841
MEM 105.304688 1683642845.0844
MEM 105.304688 1683642845.1846
MEM 105.304688 1683642845.2849
MEM 105.304688 1683642845.3851
MEM 105.304688 1683642845.4854
MEM 105.304688 1683642845.5856
MEM 105.304688 1683642845.6859
MEM 105.304688 1683642845.7861
MEM 105.304688 1683642845.8864
MEM 105.304688 1683642845.9866
MEM 105.304688 1683642846.0869
MEM 105.304688 1683642846.1872
MEM 105.304688 1683642846.2875
MEM 105.304688 1683642846.3879
MEM 105.304688 1683642846.4882
MEM 105.304688 1683642846.5884
MEM 105.304688 1683642846.6887
MEM 105.304688 1683642846.7889
MEM 105.304688 1683642846.8892
MEM 105.304688 1683642846.9894
MEM 105.304688 1683642847.0897
MEM 105.304688 1683642847.1899
MEM 105.304688 1683642847.2902
MEM 105.304688 1683642847.3905
MEM 105.304688 1683642847.4907
MEM 105.304688 1683642847.5910
MEM 105.304688 1683642847.6912
MEM 105.304688 1683642847.7915
MEM 105.304688 1683642847.8917
MEM 105.304688 1683642847.9920
MEM 105.304688 1683642848.0922
MEM 105.304688 1683642848.1925
MEM 105.304688 1683642848.2927
MEM 105.304688 1683642848.3930
MEM 105.304688 1683642848.4932
MEM 105.304688 1683642848.5935
MEM 105.304688 1683642848.6937
MEM 105.304688 1683642848.7939
MEM 105.304688 1683642848.8942
MEM 105.304688 1683642848.9945
MEM 105.304688 1683642849.0947
MEM 105.304688 1683642849.1950
MEM 105.304688 1683642849.2952
MEM 105.867188 1683642849.3956
MEM 105.867188 1683642849.4959
MEM 105.867188 1683642849.5962
MEM 105.867188 1683642849.6965
MEM 105.867188 1683642849.7971
MEM 105.867188 1683642849.8975
MEM 105.867188 1683642849.9981
MEM 105.867188 1683642850.0985
MEM 105.867188 1683642850.1990
MEM 105.867188 1683642850.2992
MEM 105.867188 1683642850.3994
MEM 105.867188 1683642850.5001
MEM 105.867188 1683642850.6003
MEM 105.867188 1683642850.7006
MEM 105.867188 1683642850.8008
MEM 105.867188 1683642850.9011
MEM 105.867188 1683642851.0013
MEM 105.867188 1683642851.1017
MEM 105.867188 1683642851.2021
MEM 105.867188 1683642851.3025
MEM 105.867188 1683642851.4028
MEM 105.867188 1683642851.5030
MEM 105.867188 1683642851.6032
MEM 105.867188 1683642851.7036
MEM 105.867188 1683642851.8039
MEM 105.867188 1683642851.9042
MEM 105.867188 1683642852.0044
MEM 105.867188 1683642852.1047
MEM 105.867188 1683642852.2049
MEM 105.867188 1683642852.3052
MEM 105.867188 1683642852.4055
MEM 105.867188 1683642852.5057
MEM 105.867188 1683642852.6060
MEM 105.867188 1683642852.7062
MEM 105.867188 1683642852.8065
MEM 105.867188 1683642852.9067
MEM 105.867188 1683642853.0070
MEM 105.867188 1683642853.1072
MEM 105.867188 1683642853.2075
MEM 105.867188 1683642853.3077
MEM 105.867188 1683642853.4080
MEM 105.867188 1683642853.5082
MEM 105.867188 1683642853.6085
MEM 105.867188 1683642853.7087
MEM 105.867188 1683642853.8090
MEM 105.867188 1683642853.9092
MEM 105.867188 1683642854.0095
MEM 105.867188 1683642854.1097
MEM 105.867188 1683642854.2100
MEM 105.867188 1683642854.3102
MEM 105.867188 1683642854.4105
MEM 105.867188 1683642854.5107
MEM 105.867188 1683642854.6110
MEM 105.867188 1683642854.7112
MEM 105.867188 1683642854.8115
MEM 105.867188 1683642854.9118
MEM 105.867188 1683642855.0120
MEM 106.125000 1683642855.1123
MEM 106.125000 1683642855.2125
MEM 106.125000 1683642855.3128
MEM 106.125000 1683642855.4131
MEM 106.125000 1683642855.5133
MEM 106.125000 1683642855.6136
MEM 106.125000 1683642855.7138
MEM 106.125000 1683642855.8141
MEM 106.125000 1683642855.9143
MEM 106.125000 1683642856.0146
MEM 106.125000 1683642856.1148
MEM 106.125000 1683642856.2151
MEM 106.125000 1683642856.3153
MEM 106.125000 1683642856.4156
MEM 106.125000 1683642856.5158
MEM 106.125000 1683642856.6161
MEM 106.125000 1683642856.7163
MEM 106.125000 1683642856.8166
MEM 106.125000 1683642856.9169
MEM 106.125000 1683642857.0171
MEM 106.125000 1683642857.1174
MEM 106.125000 1683642857.2176
MEM 106.125000 1683642857.3179
MEM 106.125000 1683642857.4181
MEM 106.125000 1683642857.5184
MEM 106.125000 1683642857.6186
MEM 106.125000 1683642857.7189
MEM 106.125000 1683642857.8192
MEM 106.125000 1683642857.9194
MEM 106.125000 1683642858.0197
MEM 106.125000 1683642858.1199
MEM 106.125000 1683642858.2202
MEM 106.125000 1683642858.3204
MEM 106.125000 1683642858.4207
MEM 106.125000 1683642858.5209
