CMDLINE /home/stefano/anaconda3/bin/python instances/getInstancesPeersqueue.py
MEM 0.722656 1683051900.6207
MEM 27.113281 1683051900.7210
MEM 41.660156 1683051900.8212
MEM 59.117188 1683051900.9214
MEM 106.417969 1683051901.0217
MEM 154.886719 1683051901.1219
MEM 201.093750 1683051901.2221
MEM 218.406250 1683051901.3226
MEM 223.562500 1683051901.4231
MEM 229.492188 1683051901.5234
MEM 229.492188 1683051901.6241
MEM 96.324219 1683051901.7244
MEM 96.390625 1683051901.8247
MEM 96.390625 1683051901.9250
MEM 96.390625 1683051902.0254
MEM 97.394531 1683051902.1257
MEM 98.164062 1683051902.2259
MEM 98.933594 1683051902.3262
MEM 98.933594 1683051902.4266
MEM 98.933594 1683051902.5268
MEM 101.242188 1683051902.6271
MEM 101.878906 1683051902.7273
MEM 101.878906 1683051902.8275
MEM 102.648438 1683051902.9279
MEM 102.648438 1683051903.0281
MEM 102.648438 1683051903.1284
MEM 102.648438 1683051903.2286
MEM 102.648438 1683051903.3289
MEM 102.648438 1683051903.4292
MEM 102.648438 1683051903.5294
MEM 102.648438 1683051903.6297
MEM 102.648438 1683051903.7300
MEM 102.648438 1683051903.8304
MEM 102.648438 1683051903.9307
MEM 102.648438 1683051904.0310
MEM 102.648438 1683051904.1314
MEM 102.648438 1683051904.2317
MEM 102.648438 1683051904.3319
MEM 102.648438 1683051904.4323
MEM 102.648438 1683051904.5325
MEM 102.648438 1683051904.6328
MEM 102.648438 1683051904.7330
MEM 102.648438 1683051904.8333
MEM 102.648438 1683051904.9337
MEM 102.648438 1683051905.0341
MEM 102.648438 1683051905.1343
MEM 102.648438 1683051905.2346
MEM 103.160156 1683051905.3348
MEM 103.417969 1683051905.4351
MEM 103.675781 1683051905.5355
MEM 103.675781 1683051905.6358
MEM 103.675781 1683051905.7361
MEM 103.675781 1683051905.8365
MEM 103.675781 1683051905.9368
MEM 103.675781 1683051906.0370
MEM 103.675781 1683051906.1373
MEM 103.675781 1683051906.2376
MEM 103.675781 1683051906.3380
MEM 103.675781 1683051906.4383
MEM 103.675781 1683051906.5386
MEM 103.675781 1683051906.6389
MEM 103.675781 1683051906.7391
MEM 103.675781 1683051906.8395
MEM 103.675781 1683051906.9398
MEM 103.675781 1683051907.0402
MEM 103.675781 1683051907.1406
MEM 105.214844 1683051907.2409
MEM 108.292969 1683051907.3412
MEM 110.601562 1683051907.4416
MEM 110.855469 1683051907.5419
MEM 111.371094 1683051907.6423
MEM 111.371094 1683051907.7426
MEM 111.371094 1683051907.8430
MEM 112.910156 1683051907.9433
MEM 112.910156 1683051908.0437
MEM 112.910156 1683051908.1440
MEM 112.910156 1683051908.2443
MEM 113.421875 1683051908.3446
MEM 113.679688 1683051908.4450
MEM 116.761719 1683051908.5453
MEM 117.789062 1683051908.6456
MEM 119.328125 1683051908.7459
MEM 119.328125 1683051908.8462
MEM 119.328125 1683051908.9466
MEM 119.585938 1683051909.0469
MEM 119.585938 1683051909.1472
MEM 119.585938 1683051909.2474
MEM 120.355469 1683051909.3478
MEM 120.355469 1683051909.4481
MEM 120.355469 1683051909.5484
MEM 121.640625 1683051909.6487
MEM 121.640625 1683051909.7490
MEM 121.640625 1683051909.8493
MEM 121.640625 1683051909.9496
MEM 121.898438 1683051910.0499
MEM 121.898438 1683051910.1502
MEM 122.156250 1683051910.2505
MEM 122.925781 1683051910.3508
MEM 123.441406 1683051910.4511
MEM 124.210938 1683051910.5514
MEM 124.210938 1683051910.6517
MEM 124.722656 1683051910.7520
MEM 125.238281 1683051910.8524
MEM 125.238281 1683051910.9527
MEM 125.238281 1683051911.0531
MEM 125.238281 1683051911.1534
MEM 126.011719 1683051911.2537
MEM 126.011719 1683051911.3541
MEM 126.011719 1683051911.4544
MEM 126.011719 1683051911.5547
MEM 126.781250 1683051911.6551
MEM 127.296875 1683051911.7554
MEM 127.554688 1683051911.8557
MEM 127.554688 1683051911.9560
MEM 127.554688 1683051912.0563
MEM 127.554688 1683051912.1566
MEM 127.812500 1683051912.2570
MEM 127.812500 1683051912.3573
MEM 128.582031 1683051912.4576
MEM 128.582031 1683051912.5579
MEM 128.582031 1683051912.6581
MEM 128.582031 1683051912.7585
MEM 128.582031 1683051912.8588
MEM 128.582031 1683051912.9592
