CMDLINE python src/scan_instances.py
MEM 0.660156 1683820858.5921
MEM 28.945312 1683820858.6925
MEM 43.304688 1683820858.7927
MEM 61.167969 1683820858.8930
MEM 67.554688 1683820858.9933
MEM 82.035156 1683820859.0937
MEM 83.066406 1683820859.1940
MEM 83.324219 1683820859.2943
MEM 83.582031 1683820859.3946
MEM 83.839844 1683820859.4949
MEM 84.097656 1683820859.5952
MEM 84.097656 1683820859.6955
MEM 84.097656 1683820859.7958
MEM 84.097656 1683820859.8960
MEM 84.097656 1683820859.9963
MEM 84.097656 1683820860.0967
MEM 84.097656 1683820860.1970
MEM 84.097656 1683820860.2973
MEM 84.097656 1683820860.3975
MEM 84.097656 1683820860.4978
MEM 84.097656 1683820860.5984
MEM 84.097656 1683820860.6988
MEM 84.097656 1683820860.7990
MEM 84.097656 1683820860.8993
MEM 84.097656 1683820860.9996
MEM 84.097656 1683820861.0998
MEM 84.097656 1683820861.2004
MEM 84.097656 1683820861.3006
MEM 84.097656 1683820861.4009
MEM 84.097656 1683820861.5012
MEM 84.097656 1683820861.6016
MEM 84.097656 1683820861.7018
MEM 84.097656 1683820861.8021
MEM 84.097656 1683820861.9024
MEM 84.097656 1683820862.0026
MEM 84.097656 1683820862.1029
MEM 84.097656 1683820862.2032
MEM 84.097656 1683820862.3034
MEM 84.097656 1683820862.4037
MEM 84.097656 1683820862.5039
MEM 84.097656 1683820862.6042
MEM 84.097656 1683820862.7044
MEM 84.097656 1683820862.8047
MEM 84.097656 1683820862.9050
MEM 84.097656 1683820863.0053
MEM 84.097656 1683820863.1055
MEM 84.097656 1683820863.2058
MEM 84.097656 1683820863.3060
MEM 84.097656 1683820863.4063
MEM 84.097656 1683820863.5066
MEM 84.097656 1683820863.6068
MEM 84.097656 1683820863.7071
MEM 84.097656 1683820863.8073
MEM 84.097656 1683820863.9076
MEM 84.097656 1683820864.0079
MEM 84.097656 1683820864.1081
MEM 84.097656 1683820864.2084
MEM 84.097656 1683820864.3087
MEM 84.097656 1683820864.4089
MEM 84.097656 1683820864.5092
MEM 84.097656 1683820864.6094
MEM 84.097656 1683820864.7097
MEM 84.355469 1683820864.8101
MEM 84.355469 1683820864.9104
MEM 85.386719 1683820865.0107
MEM 85.386719 1683820865.1110
MEM 85.386719 1683820865.2112
MEM 85.386719 1683820865.3115
MEM 85.386719 1683820865.4118
MEM 85.386719 1683820865.5120
MEM 85.386719 1683820865.6123
MEM 85.386719 1683820865.7126
MEM 85.386719 1683820865.8129
MEM 85.386719 1683820865.9134
MEM 85.386719 1683820866.0137
MEM 85.386719 1683820866.1140
MEM 85.386719 1683820866.2143
MEM 85.386719 1683820866.3146
MEM 85.386719 1683820866.4149
MEM 85.386719 1683820866.5154
MEM 85.386719 1683820866.6158
MEM 85.386719 1683820866.7161
MEM 85.386719 1683820866.8165
MEM 85.386719 1683820866.9170
MEM 85.386719 1683820867.0175
MEM 85.386719 1683820867.1178
MEM 85.386719 1683820867.2181
MEM 85.386719 1683820867.3185
MEM 85.386719 1683820867.4187
MEM 85.386719 1683820867.5190
MEM 85.386719 1683820867.6192
MEM 85.386719 1683820867.7195
MEM 85.386719 1683820867.8198
MEM 85.386719 1683820867.9200
MEM 85.386719 1683820868.0203
MEM 85.386719 1683820868.1205
MEM 85.386719 1683820868.2208
MEM 85.386719 1683820868.3211
MEM 85.386719 1683820868.4213
MEM 85.386719 1683820868.5216
MEM 85.386719 1683820868.6218
MEM 85.386719 1683820868.7221
MEM 85.386719 1683820868.8224
MEM 85.386719 1683820868.9227
MEM 85.386719 1683820869.0229
MEM 85.386719 1683820869.1232
MEM 85.386719 1683820869.2235
MEM 85.386719 1683820869.3237
MEM 85.386719 1683820869.4240
MEM 85.386719 1683820869.5242
MEM 85.386719 1683820869.6246
MEM 85.386719 1683820869.7249
MEM 85.386719 1683820869.8251
MEM 85.386719 1683820869.9254
MEM 85.386719 1683820870.0257
MEM 85.386719 1683820870.1260
MEM 85.386719 1683820870.2262
MEM 85.386719 1683820870.3267
MEM 85.386719 1683820870.4271
MEM 85.386719 1683820870.5275
MEM 85.386719 1683820870.6279
MEM 85.386719 1683820870.7283
MEM 85.386719 1683820870.8287
MEM 85.386719 1683820870.9291
MEM 85.386719 1683820871.0294
MEM 85.386719 1683820871.1297
MEM 85.386719 1683820871.2299
MEM 85.386719 1683820871.3301
MEM 85.386719 1683820871.4304
MEM 85.386719 1683820871.5307
MEM 85.386719 1683820871.6309
MEM 85.386719 1683820871.7312
