CMDLINE python instances/scan_instances.py
MEM 0.714844 1683300413.3126
MEM 29.507812 1683300413.4129
MEM 43.804688 1683300413.5132
MEM 46.042969 1683300413.6134
MEM 46.417969 1683300413.7136
MEM 46.417969 1683300413.8139
MEM 46.417969 1683300413.9142
MEM 46.417969 1683300414.0145
MEM 46.734375 1683300414.1148
MEM 47.507812 1683300414.2150
MEM 47.507812 1683300414.3153
MEM 47.507812 1683300414.4156
MEM 47.507812 1683300414.5159
MEM 47.765625 1683300414.6162
MEM 69.511719 1683300414.7165
MEM 79.273438 1683300414.8170
MEM 79.273438 1683300414.9174
MEM 79.273438 1683300415.0177
MEM 80.300781 1683300415.1180
MEM 82.105469 1683300415.2184
MEM 84.167969 1683300415.3187
MEM 86.230469 1683300415.4190
MEM 88.035156 1683300415.5193
MEM 89.839844 1683300415.6196
MEM 103.503906 1683300415.7199
MEM 103.503906 1683300415.8202
MEM 103.761719 1683300415.9204
MEM 103.761719 1683300416.0207
MEM 103.761719 1683300416.1209
MEM 103.761719 1683300416.2212
MEM 103.761719 1683300416.3214
MEM 104.136719 1683300416.4217
MEM 104.136719 1683300416.5220
MEM 104.136719 1683300416.6223
MEM 104.136719 1683300416.7226
MEM 104.136719 1683300416.8228
MEM 104.136719 1683300416.9231
MEM 104.394531 1683300417.0233
MEM 104.394531 1683300417.1236
MEM 104.394531 1683300417.2238
MEM 104.394531 1683300417.3240
MEM 104.394531 1683300417.4242
MEM 104.394531 1683300417.5245
MEM 104.394531 1683300417.6246
MEM 104.394531 1683300417.7248
MEM 104.394531 1683300417.8251
MEM 104.394531 1683300417.9253
MEM 104.394531 1683300418.0256
MEM 104.394531 1683300418.1258
MEM 104.394531 1683300418.2261
MEM 104.394531 1683300418.3264
MEM 104.394531 1683300418.4268
MEM 104.394531 1683300418.5270
MEM 104.394531 1683300418.6272
MEM 104.394531 1683300418.7274
MEM 104.394531 1683300418.8276
MEM 104.394531 1683300418.9281
MEM 104.394531 1683300419.0283
MEM 104.394531 1683300419.1286
MEM 104.394531 1683300419.2290
MEM 104.394531 1683300419.3293
MEM 104.394531 1683300419.4297
MEM 104.394531 1683300419.5300
MEM 104.394531 1683300419.6306
MEM 104.394531 1683300419.7308
MEM 104.394531 1683300419.8310
MEM 104.394531 1683300419.9312
MEM 104.394531 1683300420.0314
MEM 104.394531 1683300420.1316
MEM 104.394531 1683300420.2318
MEM 104.394531 1683300420.3320
MEM 104.394531 1683300420.4323
MEM 104.394531 1683300420.5325
MEM 104.394531 1683300420.6327
MEM 104.394531 1683300420.7329
MEM 104.394531 1683300420.8331
MEM 104.652344 1683300420.9334
MEM 104.652344 1683300421.0336
MEM 104.652344 1683300421.1339
MEM 104.652344 1683300421.2341
MEM 104.652344 1683300421.3343
MEM 104.652344 1683300421.4346
MEM 104.652344 1683300421.5349
MEM 104.652344 1683300421.6351
MEM 104.652344 1683300421.7354
MEM 104.652344 1683300421.8356
MEM 104.910156 1683300421.9360
MEM 104.910156 1683300422.0362
MEM 104.910156 1683300422.1364
MEM 104.910156 1683300422.2367
MEM 104.910156 1683300422.3370
MEM 104.910156 1683300422.4372
MEM 104.910156 1683300422.5376
MEM 104.910156 1683300422.6378
MEM 105.167969 1683300422.7380
MEM 105.167969 1683300422.8382
MEM 105.167969 1683300422.9384
MEM 105.167969 1683300423.0386
MEM 105.167969 1683300423.1389
MEM 105.167969 1683300423.2390
MEM 105.167969 1683300423.3392
MEM 105.167969 1683300423.4394
MEM 105.167969 1683300423.5397
MEM 105.167969 1683300423.6399
MEM 105.167969 1683300423.7402
MEM 105.167969 1683300423.8404
MEM 105.167969 1683300423.9406
MEM 105.167969 1683300424.0408
MEM 105.167969 1683300424.1410
MEM 105.167969 1683300424.2412
MEM 105.167969 1683300424.3415
MEM 105.167969 1683300424.4417
MEM 105.167969 1683300424.5419
MEM 105.167969 1683300424.6423
MEM 105.167969 1683300424.7426
MEM 105.425781 1683300424.8428
MEM 105.425781 1683300424.9431
MEM 105.425781 1683300425.0434
MEM 105.425781 1683300425.1436
MEM 105.425781 1683300425.2438
MEM 105.425781 1683300425.3441
MEM 105.425781 1683300425.4443
MEM 105.425781 1683300425.5447
MEM 105.425781 1683300425.6450
MEM 105.425781 1683300425.7452
MEM 105.425781 1683300425.8455
MEM 105.425781 1683300425.9457
MEM 105.425781 1683300426.0459
MEM 105.425781 1683300426.1461
MEM 105.425781 1683300426.2463
MEM 105.683594 1683300426.3465
MEM 105.683594 1683300426.4468
MEM 105.683594 1683300426.5471
MEM 105.683594 1683300426.6474
MEM 105.683594 1683300426.7477
MEM 105.683594 1683300426.8480
MEM 105.683594 1683300426.9483
MEM 105.683594 1683300427.0486
MEM 105.683594 1683300427.1489
MEM 105.683594 1683300427.2492
MEM 105.683594 1683300427.3496
MEM 105.683594 1683300427.4499
MEM 105.683594 1683300427.5502
MEM 105.941406 1683300427.6505
MEM 105.941406 1683300427.7508
MEM 105.941406 1683300427.8512
MEM 105.941406 1683300427.9515
MEM 105.941406 1683300428.0518
MEM 105.941406 1683300428.1521
MEM 105.941406 1683300428.2524
MEM 106.199219 1683300428.3527
MEM 106.199219 1683300428.4530
MEM 106.199219 1683300428.5533
