CMDLINE python instances/scan_instances.py
MEM 0.664062 1683650176.0321
MEM 29.234375 1683650176.1324
MEM 43.308594 1683650176.2328
MEM 45.761719 1683650176.3331
MEM 45.761719 1683650176.4334
MEM 45.761719 1683650176.5337
MEM 45.761719 1683650176.6340
MEM 45.761719 1683650176.7342
MEM 46.136719 1683650176.8345
MEM 46.136719 1683650176.9349
MEM 46.136719 1683650177.0352
MEM 46.136719 1683650177.1355
MEM 46.136719 1683650177.2359
MEM 46.136719 1683650177.3362
MEM 46.136719 1683650177.4366
MEM 46.136719 1683650177.5370
MEM 46.437500 1683650177.6373
MEM 46.437500 1683650177.7375
MEM 46.437500 1683650177.8377
MEM 46.437500 1683650177.9380
MEM 46.437500 1683650178.0382
MEM 46.695312 1683650178.1385
MEM 46.695312 1683650178.2388
MEM 46.695312 1683650178.3391
MEM 46.695312 1683650178.4395
MEM 46.953125 1683650178.5398
MEM 46.953125 1683650178.6401
MEM 46.953125 1683650178.7404
MEM 47.210938 1683650178.8408
MEM 47.210938 1683650178.9411
MEM 47.210938 1683650179.0414
MEM 47.210938 1683650179.1418
MEM 47.468750 1683650179.2420
MEM 93.371094 1683650179.3423
MEM 78.855469 1683650179.4426
MEM 78.855469 1683650179.5429
MEM 78.855469 1683650179.6432
MEM 78.855469 1683650179.7435
MEM 78.855469 1683650179.8437
MEM 78.855469 1683650179.9440
MEM 78.855469 1683650180.0443
MEM 78.855469 1683650180.1446
MEM 78.855469 1683650180.2449
MEM 78.855469 1683650180.3452
MEM 78.855469 1683650180.4455
MEM 78.855469 1683650180.5458
MEM 78.855469 1683650180.6461
MEM 78.855469 1683650180.7464
MEM 78.855469 1683650180.8468
MEM 78.855469 1683650180.9472
MEM 78.855469 1683650181.0475
MEM 78.855469 1683650181.1478
MEM 78.855469 1683650181.2481
MEM 78.855469 1683650181.3483
MEM 78.855469 1683650181.4486
MEM 78.855469 1683650181.5490
MEM 78.855469 1683650181.6492
MEM 78.855469 1683650181.7495
MEM 78.855469 1683650181.8498
MEM 78.855469 1683650181.9500
MEM 78.855469 1683650182.0503
MEM 78.855469 1683650182.1505
MEM 78.855469 1683650182.2508
MEM 78.855469 1683650182.3511
MEM 78.855469 1683650182.4514
MEM 78.855469 1683650182.5516
MEM 78.855469 1683650182.6519
MEM 78.855469 1683650182.7522
MEM 78.855469 1683650182.8525
MEM 78.855469 1683650182.9527
MEM 78.855469 1683650183.0530
MEM 78.855469 1683650183.1532
MEM 78.855469 1683650183.2534
MEM 78.855469 1683650183.3536
MEM 78.855469 1683650183.4539
MEM 78.855469 1683650183.5541
MEM 78.855469 1683650183.6543
MEM 78.855469 1683650183.7545
MEM 78.855469 1683650183.8548
MEM 78.855469 1683650183.9550
MEM 78.855469 1683650184.0552
MEM 78.855469 1683650184.1555
MEM 78.855469 1683650184.2557
MEM 78.855469 1683650184.3560
MEM 78.855469 1683650184.4563
MEM 78.855469 1683650184.5565
MEM 78.855469 1683650184.6568
MEM 78.855469 1683650184.7571
MEM 78.855469 1683650184.8573
MEM 78.855469 1683650184.9575
MEM 78.855469 1683650185.0578
MEM 78.855469 1683650185.1580
MEM 78.855469 1683650185.2583
MEM 78.855469 1683650185.3585
MEM 78.855469 1683650185.4588
MEM 85.554688 1683650185.5591
MEM 88.390625 1683650185.6593
MEM 88.390625 1683650185.7596
MEM 88.390625 1683650185.8598
MEM 88.390625 1683650185.9600
MEM 88.390625 1683650186.0603
MEM 88.390625 1683650186.1606
MEM 88.390625 1683650186.2609
MEM 88.390625 1683650186.3612
MEM 88.390625 1683650186.4614
MEM 88.390625 1683650186.5617
MEM 88.648438 1683650186.6619
MEM 88.648438 1683650186.7622
MEM 88.648438 1683650186.8624
MEM 88.648438 1683650186.9627
MEM 88.648438 1683650187.0629
MEM 88.648438 1683650187.1632
MEM 88.648438 1683650187.2634
MEM 88.648438 1683650187.3637
MEM 88.648438 1683650187.4640
MEM 88.648438 1683650187.5643
MEM 88.648438 1683650187.6646
MEM 88.648438 1683650187.7648
MEM 88.648438 1683650187.8651
MEM 88.648438 1683650187.9653
MEM 88.906250 1683650188.0656
MEM 88.906250 1683650188.1659
MEM 88.906250 1683650188.2661
MEM 88.906250 1683650188.3663
MEM 88.906250 1683650188.4666
MEM 88.906250 1683650188.5669
MEM 88.906250 1683650188.6671
MEM 88.906250 1683650188.7674
MEM 88.906250 1683650188.8677
MEM 88.906250 1683650188.9679
MEM 89.164062 1683650189.0682
MEM 103.085938 1683650189.1685
MEM 103.085938 1683650189.2687
MEM 103.085938 1683650189.3690
MEM 103.085938 1683650189.4693
MEM 103.085938 1683650189.5696
MEM 103.085938 1683650189.6699
MEM 103.343750 1683650189.7702
MEM 103.343750 1683650189.8705
MEM 103.343750 1683650189.9707
MEM 103.343750 1683650190.0710
MEM 103.343750 1683650190.1713
MEM 103.343750 1683650190.2715
MEM 103.343750 1683650190.3718
MEM 103.343750 1683650190.4721
MEM 103.343750 1683650190.5724
MEM 103.343750 1683650190.6728
MEM 103.703125 1683650190.7730
MEM 103.703125 1683650190.8733
MEM 103.703125 1683650190.9736
MEM 103.703125 1683650191.0739
MEM 103.703125 1683650191.1742
MEM 103.703125 1683650191.2745
MEM 103.703125 1683650191.3748
MEM 103.703125 1683650191.4751
MEM 103.703125 1683650191.5754
MEM 103.957031 1683650191.6757
MEM 103.957031 1683650191.7760
MEM 103.957031 1683650191.8763
MEM 103.957031 1683650191.9765
MEM 103.957031 1683650192.0768
MEM 103.957031 1683650192.1771
MEM 103.957031 1683650192.2774
MEM 103.957031 1683650192.3777
MEM 103.957031 1683650192.4780
MEM 103.957031 1683650192.5783
MEM 103.957031 1683650192.6785
MEM 104.257812 1683650192.7788
MEM 104.257812 1683650192.8790
MEM 104.257812 1683650192.9793
MEM 104.257812 1683650193.0796
MEM 104.257812 1683650193.1799
MEM 104.257812 1683650193.2801
MEM 104.257812 1683650193.3804
MEM 104.257812 1683650193.4807
MEM 104.257812 1683650193.5810
MEM 104.257812 1683650193.6813
MEM 104.257812 1683650193.7816
MEM 104.257812 1683650193.8819
MEM 104.257812 1683650193.9821
MEM 104.257812 1683650194.0824
MEM 104.257812 1683650194.1827
MEM 104.257812 1683650194.2830
MEM 104.257812 1683650194.3832
MEM 104.257812 1683650194.4835
MEM 104.515625 1683650194.5838
MEM 104.515625 1683650194.6840
MEM 104.515625 1683650194.7843
MEM 104.515625 1683650194.8847
MEM 104.515625 1683650194.9850
MEM 104.515625 1683650195.0854
MEM 104.515625 1683650195.1857
MEM 104.515625 1683650195.2860
MEM 104.515625 1683650195.3863
MEM 104.515625 1683650195.4867
MEM 104.515625 1683650195.5870
MEM 104.515625 1683650195.6873
MEM 104.515625 1683650195.7876
MEM 104.515625 1683650195.8879
MEM 104.515625 1683650195.9883
MEM 104.515625 1683650196.0887
MEM 104.515625 1683650196.1891
MEM 104.515625 1683650196.2894
MEM 104.515625 1683650196.3898
MEM 104.515625 1683650196.4901
MEM 104.515625 1683650196.5904
MEM 104.515625 1683650196.6908
MEM 104.515625 1683650196.7911
MEM 104.515625 1683650196.8914
MEM 104.515625 1683650196.9918
MEM 104.515625 1683650197.0921
MEM 104.515625 1683650197.1923
MEM 104.515625 1683650197.2926
MEM 104.515625 1683650197.3929
MEM 104.515625 1683650197.4933
MEM 104.515625 1683650197.5936
MEM 104.515625 1683650197.6939
MEM 104.515625 1683650197.7942
MEM 104.515625 1683650197.8945
MEM 104.515625 1683650197.9948
MEM 104.515625 1683650198.0950
MEM 104.515625 1683650198.1952
MEM 104.515625 1683650198.2955
MEM 104.515625 1683650198.3958
MEM 104.515625 1683650198.4961
MEM 104.515625 1683650198.5964
MEM 104.515625 1683650198.6967
MEM 104.515625 1683650198.7970
MEM 104.515625 1683650198.8973
MEM 104.515625 1683650198.9976
MEM 104.515625 1683650199.0978
MEM 104.515625 1683650199.1982
MEM 104.515625 1683650199.2986
MEM 104.515625 1683650199.3989
MEM 104.515625 1683650199.4992
MEM 104.773438 1683650199.5995
MEM 104.773438 1683650199.6998
MEM 104.773438 1683650199.8001
MEM 104.773438 1683650199.9004
MEM 104.773438 1683650200.0007
MEM 104.773438 1683650200.1010
MEM 104.773438 1683650200.2013
MEM 104.773438 1683650200.3016
MEM 104.773438 1683650200.4019
MEM 104.773438 1683650200.5026
MEM 104.773438 1683650200.6028
MEM 104.773438 1683650200.7031
MEM 104.773438 1683650200.8034
MEM 104.773438 1683650200.9037
MEM 104.773438 1683650201.0040
MEM 104.773438 1683650201.1043
MEM 104.773438 1683650201.2046
MEM 104.773438 1683650201.3048
MEM 104.773438 1683650201.4051
MEM 104.773438 1683650201.5053
MEM 105.031250 1683650201.6056
MEM 105.031250 1683650201.7058
MEM 105.031250 1683650201.8060
MEM 105.031250 1683650201.9063
MEM 105.031250 1683650202.0065
MEM 105.031250 1683650202.1067
MEM 105.031250 1683650202.2070
MEM 105.031250 1683650202.3072
MEM 105.031250 1683650202.4074
MEM 105.031250 1683650202.5077
MEM 105.031250 1683650202.6079
MEM 105.031250 1683650202.7081
MEM 105.031250 1683650202.8084
MEM 105.031250 1683650202.9087
MEM 105.031250 1683650203.0090
MEM 105.031250 1683650203.1093
MEM 105.031250 1683650203.2095
MEM 105.031250 1683650203.3098
MEM 105.031250 1683650203.4101
MEM 105.031250 1683650203.5104
MEM 105.031250 1683650203.6106
MEM 105.031250 1683650203.7109
MEM 105.031250 1683650203.8112
MEM 105.031250 1683650203.9115
MEM 105.031250 1683650204.0117
MEM 105.031250 1683650204.1120
MEM 105.031250 1683650204.2123
MEM 105.031250 1683650204.3127
MEM 105.031250 1683650204.4129
MEM 105.031250 1683650204.5133
MEM 105.031250 1683650204.6136
MEM 105.031250 1683650204.7140
MEM 105.031250 1683650204.8144
MEM 105.031250 1683650204.9147
MEM 105.031250 1683650205.0151
MEM 105.031250 1683650205.1154
MEM 105.031250 1683650205.2157
MEM 105.031250 1683650205.3160
MEM 105.031250 1683650205.4163
MEM 105.031250 1683650205.5166
MEM 105.031250 1683650205.6169
MEM 105.031250 1683650205.7171
MEM 105.031250 1683650205.8175
MEM 105.031250 1683650205.9178
MEM 105.031250 1683650206.0182
MEM 105.031250 1683650206.1185
MEM 105.031250 1683650206.2188
MEM 105.031250 1683650206.3191
MEM 105.031250 1683650206.4194
MEM 105.031250 1683650206.5197
MEM 105.031250 1683650206.6200
MEM 105.031250 1683650206.7204
MEM 105.031250 1683650206.8207
MEM 105.031250 1683650206.9210
MEM 105.031250 1683650207.0213
MEM 105.031250 1683650207.1216
MEM 105.031250 1683650207.2219
MEM 105.031250 1683650207.3222
MEM 105.031250 1683650207.4225
MEM 105.031250 1683650207.5228
MEM 105.031250 1683650207.6231
MEM 105.031250 1683650207.7233
MEM 105.031250 1683650207.8236
MEM 105.031250 1683650207.9240
MEM 105.031250 1683650208.0244
MEM 105.031250 1683650208.1247
MEM 105.031250 1683650208.2250
MEM 105.289062 1683650208.3252
MEM 105.289062 1683650208.4256
MEM 105.289062 1683650208.5259
MEM 105.289062 1683650208.6262
MEM 105.289062 1683650208.7265
MEM 105.289062 1683650208.8269
MEM 105.289062 1683650208.9272
MEM 105.289062 1683650209.0275
MEM 105.289062 1683650209.1278
MEM 105.289062 1683650209.2281
MEM 105.289062 1683650209.3285
MEM 105.289062 1683650209.4288
MEM 105.289062 1683650209.5291
MEM 105.289062 1683650209.6294
MEM 105.289062 1683650209.7297
MEM 105.289062 1683650209.8300
MEM 105.289062 1683650209.9303
MEM 105.289062 1683650210.0306
MEM 105.289062 1683650210.1309
MEM 105.289062 1683650210.2312
MEM 105.289062 1683650210.3315
MEM 105.289062 1683650210.4318
MEM 105.289062 1683650210.5322
MEM 105.289062 1683650210.6325
MEM 105.289062 1683650210.7328
MEM 105.289062 1683650210.8332
MEM 105.289062 1683650210.9335
MEM 105.289062 1683650211.0338
MEM 105.289062 1683650211.1342
MEM 105.289062 1683650211.2345
MEM 105.289062 1683650211.3348
MEM 105.289062 1683650211.4352
MEM 105.289062 1683650211.5355
