CMDLINE /home/stefano/anaconda3/bin/python boh.py
MEM 0.675781 1683048580.5071
MEM 27.339844 1683048580.6075
MEM 41.027344 1683048580.7077
MEM 55.312500 1683048580.8079
MEM 55.312500 1683048580.9082
MEM 55.886719 1683048581.0084
MEM 56.320312 1683048581.1086
MEM 56.578125 1683048581.2089
MEM 56.578125 1683048581.3091
MEM 57.093750 1683048581.4094
MEM 57.867188 1683048581.5096
MEM 57.867188 1683048581.6101
MEM 57.867188 1683048581.7105
MEM 58.125000 1683048581.8108
MEM 58.382812 1683048581.9111
MEM 59.156250 1683048582.0115
MEM 59.156250 1683048582.1117
MEM 59.929688 1683048582.2120
MEM 59.929688 1683048582.3123
MEM 59.929688 1683048582.4125
MEM 59.929688 1683048582.5128
MEM 60.187500 1683048582.6131
MEM 60.187500 1683048582.7133
MEM 60.187500 1683048582.8136
MEM 60.187500 1683048582.9140
MEM 60.445312 1683048583.0143
MEM 60.445312 1683048583.1145
MEM 60.445312 1683048583.2149
MEM 60.445312 1683048583.3152
MEM 60.445312 1683048583.4155
MEM 60.445312 1683048583.5157
MEM 60.445312 1683048583.6160
MEM 60.445312 1683048583.7162
MEM 60.445312 1683048583.8165
MEM 60.445312 1683048583.9167
MEM 60.703125 1683048584.0170
MEM 60.703125 1683048584.1173
MEM 61.218750 1683048584.2175
MEM 61.218750 1683048584.3178
MEM 61.218750 1683048584.4180
MEM 61.476562 1683048584.5183
MEM 62.507812 1683048584.6186
MEM 63.023438 1683048584.7188
MEM 63.023438 1683048584.8191
MEM 63.023438 1683048584.9193
MEM 63.023438 1683048585.0196
MEM 63.281250 1683048585.1198
MEM 63.281250 1683048585.2201
MEM 63.281250 1683048585.3203
MEM 63.281250 1683048585.4206
MEM 63.281250 1683048585.5208
MEM 63.281250 1683048585.6211
MEM 63.281250 1683048585.7214
MEM 63.281250 1683048585.8217
MEM 63.281250 1683048585.9219
MEM 63.281250 1683048586.0222
MEM 63.281250 1683048586.1224
MEM 63.281250 1683048586.2227
MEM 63.281250 1683048586.3229
MEM 63.281250 1683048586.4232
MEM 63.539062 1683048586.5234
MEM 63.539062 1683048586.6237
MEM 63.539062 1683048586.7240
MEM 63.539062 1683048586.8243
MEM 64.054688 1683048586.9246
MEM 64.054688 1683048587.0249
MEM 64.054688 1683048587.1253
MEM 64.054688 1683048587.2255
MEM 64.054688 1683048587.3258
MEM 64.054688 1683048587.4261
MEM 64.054688 1683048587.5263
MEM 64.054688 1683048587.6266
MEM 64.312500 1683048587.7268
MEM 64.312500 1683048587.8271
MEM 65.859375 1683048587.9273
MEM 65.859375 1683048588.0276
MEM 65.859375 1683048588.1278
MEM 66.117188 1683048588.2281
MEM 66.632812 1683048588.3284
MEM 66.890625 1683048588.4286
MEM 66.890625 1683048588.5288
MEM 66.890625 1683048588.6291
MEM 66.890625 1683048588.7294
MEM 67.148438 1683048588.8296
MEM 67.148438 1683048588.9299
MEM 67.148438 1683048589.0302
MEM 67.148438 1683048589.1304
MEM 67.148438 1683048589.2307
MEM 67.406250 1683048589.3309
MEM 67.664062 1683048589.4312
MEM 67.921875 1683048589.5314
MEM 68.179688 1683048589.6317
MEM 68.179688 1683048589.7319
MEM 68.437500 1683048589.8322
MEM 68.437500 1683048589.9324
MEM 68.437500 1683048590.0327
MEM 68.437500 1683048590.1329
MEM 68.437500 1683048590.2332
MEM 71.531250 1683048590.3335
MEM 71.531250 1683048590.4337
MEM 71.531250 1683048590.5340
MEM 71.531250 1683048590.6342
MEM 71.531250 1683048590.7345
MEM 72.820312 1683048590.8347
MEM 72.820312 1683048590.9350
MEM 72.820312 1683048591.0354
MEM 72.820312 1683048591.1356
MEM 72.820312 1683048591.2359
MEM 72.820312 1683048591.3361
MEM 73.593750 1683048591.4364
MEM 73.593750 1683048591.5366
MEM 73.593750 1683048591.6369
MEM 73.593750 1683048591.7371
MEM 73.851562 1683048591.8374
MEM 73.851562 1683048591.9377
MEM 73.851562 1683048592.0380
