CMDLINE /home/stefano/anaconda3/bin/python boh.py
MEM 0.675781 1683048248.8277
MEM 27.406250 1683048248.9280
MEM 41.867188 1683048249.0282
MEM 52.781250 1683048249.1285
MEM 53.355469 1683048249.2287
MEM 54.046875 1683048249.3290
MEM 54.820312 1683048249.4292
MEM 55.078125 1683048249.5294
MEM 55.335938 1683048249.6296
MEM 56.109375 1683048249.7299
MEM 56.109375 1683048249.8301
MEM 56.109375 1683048249.9304
MEM 56.109375 1683048250.0306
MEM 56.109375 1683048250.1309
MEM 56.109375 1683048250.2311
MEM 56.109375 1683048250.3314
MEM 56.367188 1683048250.4316
MEM 57.140625 1683048250.5317
MEM 57.398438 1683048250.6319
MEM 57.398438 1683048250.7321
MEM 57.398438 1683048250.8322
MEM 57.398438 1683048250.9324
MEM 58.171875 1683048251.0326
MEM 58.171875 1683048251.1328
MEM 58.171875 1683048251.2330
MEM 58.171875 1683048251.3332
MEM 58.171875 1683048251.4334
MEM 58.171875 1683048251.5336
MEM 58.171875 1683048251.6338
MEM 58.171875 1683048251.7339
MEM 58.171875 1683048251.8341
MEM 58.429688 1683048251.9343
MEM 58.429688 1683048252.0345
MEM 58.429688 1683048252.1346
MEM 58.429688 1683048252.2348
MEM 58.687500 1683048252.3350
MEM 58.687500 1683048252.4352
MEM 59.718750 1683048252.5353
MEM 59.718750 1683048252.6355
MEM 59.718750 1683048252.7357
MEM 59.718750 1683048252.8360
MEM 60.234375 1683048252.9362
MEM 60.234375 1683048253.0365
MEM 60.234375 1683048253.1367
MEM 60.234375 1683048253.2370
MEM 60.234375 1683048253.3374
MEM 60.234375 1683048253.4377
MEM 60.234375 1683048253.5380
MEM 60.234375 1683048253.6382
MEM 60.234375 1683048253.7384
MEM 60.234375 1683048253.8387
MEM 60.234375 1683048253.9391
MEM 60.234375 1683048254.0395
MEM 60.234375 1683048254.1397
MEM 60.234375 1683048254.2400
MEM 60.234375 1683048254.3403
MEM 60.234375 1683048254.4407
MEM 60.234375 1683048254.5411
MEM 60.234375 1683048254.6415
MEM 60.234375 1683048254.7417
MEM 60.234375 1683048254.8420
MEM 60.234375 1683048254.9422
MEM 58.238281 1683048255.0426
MEM 58.265625 1683048255.1428
MEM 58.265625 1683048255.2431
MEM 58.265625 1683048255.3435
MEM 58.265625 1683048255.4441
MEM 58.265625 1683048255.5445
MEM 58.265625 1683048255.6447
MEM 58.265625 1683048255.7450
MEM 58.265625 1683048255.8458
MEM 58.265625 1683048255.9462
MEM 58.265625 1683048256.0464
MEM 58.265625 1683048256.1467
MEM 58.265625 1683048256.2471
MEM 58.265625 1683048256.3479
MEM 58.265625 1683048256.4483
MEM 58.265625 1683048256.5486
MEM 58.265625 1683048256.6489
MEM 58.265625 1683048256.7493
MEM 58.265625 1683048256.8496
MEM 58.265625 1683048256.9499
MEM 58.265625 1683048257.0501
MEM 58.265625 1683048257.1504
MEM 58.265625 1683048257.2507
MEM 58.265625 1683048257.3509
MEM 58.265625 1683048257.4511
MEM 58.265625 1683048257.5514
MEM 58.265625 1683048257.6516
MEM 58.265625 1683048257.7519
MEM 58.265625 1683048257.8521
MEM 58.265625 1683048257.9525
MEM 58.265625 1683048258.0529
MEM 58.265625 1683048258.1538
MEM 58.265625 1683048258.2541
MEM 58.265625 1683048258.3545
