CMDLINE /home/stefano/anaconda3/bin/python boh.py
MEM 0.710938 1683047907.8395
MEM 27.089844 1683047907.9399
MEM 40.765625 1683047908.0401
MEM 55.542969 1683047908.1402
MEM 55.542969 1683047908.2405
MEM 56.175781 1683047908.3407
MEM 56.550781 1683047908.4410
MEM 56.808594 1683047908.5412
MEM 56.808594 1683047908.6415
MEM 57.066406 1683047908.7418
MEM 58.097656 1683047908.8420
MEM 58.355469 1683047908.9423
MEM 58.355469 1683047909.0425
MEM 58.355469 1683047909.1428
MEM 58.613281 1683047909.2430
MEM 58.871094 1683047909.3433
MEM 59.644531 1683047909.4435
MEM 59.644531 1683047909.5439
MEM 60.675781 1683047909.6441
MEM 60.675781 1683047909.7444
MEM 60.933594 1683047909.8446
MEM 60.933594 1683047909.9448
MEM 60.933594 1683047910.0451
MEM 61.191406 1683047910.1453
MEM 61.191406 1683047910.2456
MEM 61.191406 1683047910.3465
MEM 61.191406 1683047910.4468
MEM 61.191406 1683047910.5472
MEM 61.191406 1683047910.6476
MEM 61.191406 1683047910.7479
MEM 61.191406 1683047910.8482
MEM 61.191406 1683047910.9490
MEM 61.191406 1683047911.0493
MEM 61.191406 1683047911.1497
MEM 61.191406 1683047911.2498
MEM 61.191406 1683047911.3501
MEM 61.191406 1683047911.4504
MEM 61.191406 1683047911.5506
MEM 61.191406 1683047911.6509
MEM 61.191406 1683047911.7512
MEM 61.191406 1683047911.8515
MEM 61.191406 1683047911.9518
MEM 61.191406 1683047912.0520
MEM 61.191406 1683047912.1523
MEM 61.191406 1683047912.2525
MEM 61.191406 1683047912.3528
MEM 61.191406 1683047912.4531
MEM 61.191406 1683047912.5533
MEM 61.707031 1683047912.6536
MEM 61.964844 1683047912.7539
MEM 61.964844 1683047912.8543
MEM 62.996094 1683047912.9546
MEM 62.996094 1683047913.0549
MEM 62.996094 1683047913.1552
MEM 62.996094 1683047913.2554
MEM 62.996094 1683047913.3557
MEM 63.253906 1683047913.4560
MEM 63.511719 1683047913.5563
MEM 63.511719 1683047913.6566
MEM 63.511719 1683047913.7569
MEM 63.511719 1683047913.8574
MEM 63.511719 1683047913.9577
MEM 63.511719 1683047914.0580
MEM 63.511719 1683047914.1583
MEM 63.511719 1683047914.2586
MEM 63.769531 1683047914.3589
MEM 63.769531 1683047914.4591
MEM 64.285156 1683047914.5594
MEM 64.285156 1683047914.6597
MEM 64.285156 1683047914.7600
MEM 64.285156 1683047914.8603
MEM 64.285156 1683047914.9606
MEM 64.285156 1683047915.0609
MEM 64.285156 1683047915.1613
MEM 64.542969 1683047915.2616
MEM 64.542969 1683047915.3619
MEM 66.089844 1683047915.4622
MEM 66.089844 1683047915.5625
MEM 66.089844 1683047915.6628
MEM 66.605469 1683047915.7631
MEM 66.605469 1683047915.8634
MEM 67.121094 1683047915.9636
MEM 67.121094 1683047916.0639
MEM 67.121094 1683047916.1641
MEM 67.378906 1683047916.2644
MEM 67.378906 1683047916.3646
MEM 67.378906 1683047916.4649
MEM 67.378906 1683047916.5651
MEM 67.378906 1683047916.6654
MEM 67.636719 1683047916.7656
MEM 67.636719 1683047916.8658
MEM 67.894531 1683047916.9661
MEM 67.894531 1683047917.0663
MEM 68.152344 1683047917.1666
MEM 68.410156 1683047917.2668
MEM 68.667969 1683047917.3671
MEM 68.667969 1683047917.4674
MEM 68.667969 1683047917.5676
MEM 68.925781 1683047917.6679
MEM 71.761719 1683047917.7681
MEM 71.761719 1683047917.8684
MEM 71.761719 1683047917.9687
MEM 71.761719 1683047918.0690
MEM 71.761719 1683047918.1692
MEM 71.761719 1683047918.2695
MEM 71.761719 1683047918.3698
MEM 71.761719 1683047918.4700
MEM 71.761719 1683047918.5703
MEM 71.761719 1683047918.6705
MEM 72.535156 1683047918.7708
MEM 72.535156 1683047918.8710
MEM 72.792969 1683047918.9713
MEM 72.792969 1683047919.0715
MEM 72.792969 1683047919.1718
MEM 72.792969 1683047919.2720
MEM 72.792969 1683047919.3723
MEM 73.308594 1683047919.4725
MEM 73.308594 1683047919.5728
MEM 73.308594 1683047919.6730
MEM 73.308594 1683047919.7733
MEM 74.082031 1683047919.8736
MEM 74.855469 1683047919.9739
MEM 74.855469 1683047920.0742
MEM 74.855469 1683047920.1745
MEM 75.113281 1683047920.2748
MEM 75.113281 1683047920.3751
MEM 75.113281 1683047920.4754
MEM 75.113281 1683047920.5757
MEM 75.113281 1683047920.6760
MEM 75.113281 1683047920.7763
MEM 75.371094 1683047920.8765
MEM 75.371094 1683047920.9768
MEM 75.371094 1683047921.0771
MEM 75.371094 1683047921.1773
MEM 75.628906 1683047921.2776
MEM 75.628906 1683047921.3779
MEM 77.433594 1683047921.4781
MEM 77.433594 1683047921.5784
MEM 77.433594 1683047921.6787
MEM 77.949219 1683047921.7790
MEM 77.949219 1683047921.8792
MEM 78.207031 1683047921.9795
MEM 78.207031 1683047922.0798
MEM 78.207031 1683047922.1800
MEM 78.464844 1683047922.2803
MEM 78.980469 1683047922.3806
MEM 79.238281 1683047922.4809
MEM 79.238281 1683047922.5812
MEM 79.238281 1683047922.6814
MEM 79.238281 1683047922.7817
MEM 79.238281 1683047922.8820
MEM 79.238281 1683047922.9822
MEM 80.011719 1683047923.0825
MEM 80.269531 1683047923.1828
MEM 80.269531 1683047923.2831
MEM 80.269531 1683047923.3834
MEM 81.300781 1683047923.4837
MEM 81.300781 1683047923.5839
MEM 81.300781 1683047923.6842
MEM 81.300781 1683047923.7844
MEM 82.074219 1683047923.8847
MEM 82.074219 1683047923.9850
MEM 82.589844 1683047924.0853
MEM 82.589844 1683047924.1856
MEM 82.589844 1683047924.2858
MEM 82.589844 1683047924.3861
MEM 82.847656 1683047924.4863
MEM 82.847656 1683047924.5866
MEM 82.847656 1683047924.6869
MEM 82.847656 1683047924.7872
MEM 82.847656 1683047924.8875
MEM 82.847656 1683047924.9878
MEM 82.847656 1683047925.0880
MEM 83.363281 1683047925.1883
MEM 83.363281 1683047925.2886
MEM 83.363281 1683047925.3889
MEM 83.363281 1683047925.4891
MEM 83.363281 1683047925.5894
MEM 83.363281 1683047925.6896
MEM 83.363281 1683047925.7899
MEM 83.363281 1683047925.8901
MEM 83.621094 1683047925.9904
MEM 83.621094 1683047926.0906
MEM 83.621094 1683047926.1909
MEM 83.878906 1683047926.2912
MEM 84.136719 1683047926.3914
MEM 84.136719 1683047926.4917
MEM 84.136719 1683047926.5919
MEM 84.136719 1683047926.6922
MEM 84.136719 1683047926.7925
MEM 84.652344 1683047926.8927
MEM 84.652344 1683047926.9930
MEM 84.652344 1683047927.0932
MEM 84.652344 1683047927.1935
MEM 84.910156 1683047927.2938
MEM 84.910156 1683047927.3940
MEM 84.910156 1683047927.4943
MEM 86.199219 1683047927.5945
MEM 86.199219 1683047927.6948
MEM 86.199219 1683047927.7950
MEM 86.199219 1683047927.8953
MEM 86.199219 1683047927.9956
MEM 86.714844 1683047928.0958
MEM 86.972656 1683047928.1961
MEM 86.972656 1683047928.2964
MEM 86.972656 1683047928.3967
MEM 86.972656 1683047928.4970
MEM 86.972656 1683047928.5972
